סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
499897,"בי""ס אשרקאת אלג'ד",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,36,0,0%,0,0%,0,0%
645986,בית הספר האמריקאי יר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,14,0,0%,0,0%,0,0%
725309,בית ספר אלעמליה אלנמ,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,78,0,0%,0,0%,0,0%
729145,בית ספר דאר אלהודה אלנמודג'יה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,64,0,0%,0,0%,0,0%
338434,ברידג' אינטרנשיונל,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,16,0,0%,0,0%,0,0%
239905,ג'רוזלם סקול יסודי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,64,0,0%,0,0%,0,0%
412676,דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,55,0,0%,0,0%,0,0%
754721,דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,62,0,0%,0,0%,0,0%
718924,זו אלנוריין,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,28,0,0%,0,0%,0,0%
192997,"חט""ב עיסוויה בנים",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,153,121,79%,83,54%,72,47%
634840,חיואר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,49,16,33%,13,27%,11,22%
512343,יסודי אלמסתקבל שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,31,0,0%,0,0%,0,0%
